scrape_timestamp,page_number,row_number,inferred_name,inferred_handle,inferred_followers,inferred_er,inferred_engagement,numeric_tokens,percent_tokens,all_visible_text,visible_lines_json,debug_notes,line_1,line_2,line_3,line_4,line_5,line_6,line_7,line_8,line_9,line_10,line_11,line_12
2026-03-30T10:15:58,2,12,Clean Eating Guide | Inspiring Millions to Eat Clean,@cleaneatguide,1.7M,0.03%,0.03,"[""1.7M"", ""0.03"", ""502""]","[""0.03%""]",Clean Eating Guide | Inspiring Millions to Eat Clean | @cleaneatguide | 1.7M | 0.03% | 502 | Save,"[""Clean Eating Guide | Inspiring Millions to Eat Clean"", ""@cleaneatguide"", ""1.7M"", ""0.03%"", ""502"", ""Save""]",,Clean Eating Guide | Inspiring Millions to Eat Clean,@cleaneatguide,1.7M,0.03%,502,Save,,,,,,
2026-03-30T10:15:58,2,13,🇬🇧L O U I S E R Ø B Ę R T Š,@louise_fitcoach,1.7M,2.17%,2.17,"[""1.7M"", ""2.17"", ""37k""]","[""2.17%""]",🇬🇧L O U I S E R Ø B Ę R T Š | @louise_fitcoach | 1.7M | 2.17% | 37k | Save,"[""\ud83c\uddec\ud83c\udde7L O U I S E R \u00d8 B \u0118 R T \u0160"", ""@louise_fitcoach"", ""1.7M"", ""2.17%"", ""37k"", ""Save""]",,🇬🇧L O U I S E R Ø B Ę R T Š,@louise_fitcoach,1.7M,2.17%,37k,Save,,,,,,
2026-03-30T10:15:58,2,14,Scott Mathison,@scott_mathison_,1.7M,0.4%,0.4,"[""1.7M"", ""0.4"", ""6.7k""]","[""0.4%""]",Scott Mathison | @scott_mathison_ | 1.7M | 0.4% | 6.7k | Save,"[""Scott Mathison"", ""@scott_mathison_"", ""1.7M"", ""0.4%"", ""6.7k"", ""Save""]",,Scott Mathison,@scott_mathison_,1.7M,0.4%,6.7k,Save,,,,,,
2026-03-30T10:15:58,2,15,Jason Hennessey,@jasonhennessey,1.6M,0%,0,"[""1.6M"", ""0"", ""5""]","[""0%""]",Jason Hennessey | @jasonhennessey | 1.6M | 0% | 5 | Save,"[""Jason Hennessey"", ""@jasonhennessey"", ""1.6M"", ""0%"", ""5"", ""Save""]",,Jason Hennessey,@jasonhennessey,1.6M,0%,5,Save,,,,,,
2026-03-30T10:16:27,3,1,DANIEL ALLY,@danielallyofficial,1.6M,,,"[""1.6M""]",[],DANIEL ALLY | @danielallyofficial | 1.6M | Likes are hidden | Likes are hidden | Save,"[""DANIEL ALLY"", ""@danielallyofficial"", ""1.6M"", ""Likes are hidden"", ""Likes are hidden"", ""Save""]","er_missing,engagement_missing",DANIEL ALLY,@danielallyofficial,1.6M,Likes are hidden,Likes are hidden,Save,,,,,,
2026-03-30T10:16:27,3,2,Jetmir Prenga / Online 1-on-1 Boxing Coach,@miri_boxing,1,,1,"[""1"", ""1""]",[],Jetmir Prenga / Online 1-on-1 Boxing Coach | @miri_boxing,"[""Jetmir Prenga / Online 1-on-1 Boxing Coach"", ""@miri_boxing""]",er_missing,Jetmir Prenga / Online 1-on-1 Boxing Coach,@miri_boxing,,,,,,,,,,
2026-03-30T10:16:27,3,3,Jenna de León 🇹🇹🇺🇸,@jenna.deleon,1.5M,1.17%,1.17,"[""1.5M"", ""1.17"", ""17.6k""]","[""1.17%""]",Jenna de León 🇹🇹🇺🇸 | @jenna.deleon | 1.5M | 1.17% | 17.6k | Save,"[""Jenna de Leo\u0301n \ud83c\uddf9\ud83c\uddf9\ud83c\uddfa\ud83c\uddf8"", ""@jenna.deleon"", ""1.5M"", ""1.17%"", ""17.6k"", ""Save""]",,Jenna de León 🇹🇹🇺🇸,@jenna.deleon,1.5M,1.17%,17.6k,Save,,,,,,
2026-03-30T10:16:27,3,4,Kamerron Rowe,@bigggwinter,1.5M,5.54%,5.54,"[""1.5M"", ""5.54"", ""82.3k""]","[""5.54%""]",Kamerron Rowe | @bigggwinter | 1.5M | 5.54% | 82.3k | Save,"[""Kamerron Rowe"", ""@bigggwinter"", ""1.5M"", ""5.54%"", ""82.3k"", ""Save""]",,Kamerron Rowe,@bigggwinter,1.5M,5.54%,82.3k,Save,,,,,,
2026-03-30T10:16:27,3,5,Women’s Health Coach | Pre & Postpartum Fitness,@brittanyperilleee,1.5M,0.19%,0.19,"[""1.5M"", ""0.19"", ""2.7k""]","[""0.19%""]",Women’s Health Coach | Pre & Postpartum Fitness | @brittanyperilleee | 1.5M | 0.19% | 2.7k | Save,"[""Women\u2019s Health Coach | Pre & Postpartum Fitness"", ""@brittanyperilleee"", ""1.5M"", ""0.19%"", ""2.7k"", ""Save""]",,Women’s Health Coach | Pre & Postpartum Fitness,@brittanyperilleee,1.5M,0.19%,2.7k,Save,,,,,,
2026-03-30T10:16:27,3,6,#1 Live Fitness Coach for Women,@fabiana_ferrarini,1,0.03%,1.5M,"[""1"", ""1.5M"", ""0.03"", ""504""]","[""0.03%""]",#1 Live Fitness Coach for Women | @fabiana_ferrarini | 1.5M | 0.03% | 504 | Save,"[""#1 Live Fitness Coach for Women"", ""@fabiana_ferrarini"", ""1.5M"", ""0.03%"", ""504"", ""Save""]",,#1 Live Fitness Coach for Women,@fabiana_ferrarini,1.5M,0.03%,504,Save,,,,,,
